     V         Ical
  0.00   0.76075773
  0.01   0.75853557
  0.02   0.75631340
  0.03   0.75409122
  0.04   0.75186902
  0.05   0.74964680
  0.06   0.74742456
  0.07   0.74520229
  0.08   0.74297998
  0.09   0.74075764
  0.10   0.73853526
  0.11   0.73631282
  0.12   0.73409032
  0.13   0.73186774
  0.14   0.72964507
  0.15   0.72742229
  0.16   0.72519939
  0.17   0.72297633
  0.18   0.72075310
  0.19   0.71852965
  0.20   0.71630594
  0.21   0.71408194
  0.22   0.71185758
  0.23   0.70963279
  0.24   0.70740750
  0.25   0.70518160
  0.26   0.70295499
  0.27   0.70072754
  0.28   0.69849908
  0.29   0.69626942
  0.30   0.69403834
  0.31   0.69180557
  0.32   0.68957080
  0.33   0.68733364
  0.34   0.68509365
  0.35   0.68285030
  0.36   0.68060296
  0.37   0.67835087
  0.38   0.67609314
  0.39   0.67382871
  0.40   0.67155632
  0.41   0.66927449
  0.42   0.66698142
  0.43   0.66467501
  0.44   0.66235275
  0.45   0.66001167
  0.46   0.65764821
  0.47   0.65525819
  0.48   0.65283659
  0.49   0.65037749
  0.50   0.64787385
  0.51   0.64531727
  0.52   0.64269782
  0.53   0.64000367
  0.54   0.63722078
  0.55   0.63433248
  0.56   0.63131895
  0.57   0.62815664
  0.58   0.62481760
  0.59   0.62126860
  0.60   0.61747017
  0.61   0.61337545
  0.62   0.60892874
  0.63   0.60406388
  0.64   0.59870230
  0.65   0.59275064
  0.66   0.58609803
  0.67   0.57861277
  0.68   0.57013840
  0.69   0.56048913
  0.70   0.54944426
  0.71   0.53674170
  0.72   0.52207017
  0.73   0.50506004
  0.74   0.48527240
  0.75   0.46218612
  0.76   0.43518252
  0.77   0.40352718
  0.78   0.36634846
  0.79   0.32261201
  0.80   0.27109068
  0.81   0.21032890
  0.82   0.13860072
  0.83   0.05386030
  0.84  -0.04631643
  0.85  -0.16480020
  0.86  -0.30498876
  0.87  -0.47090083
  0.88  -0.66728571
  0.89  -0.89975055
  0.90  -1.17490781
  0.91  -1.50054472
  0.92  -1.88581732
  0.93  -2.34147053
  0.94  -2.88008555
  0.95  -3.51635465
  0.96  -4.26738202
  0.97  -5.15300669
  0.98  -6.19614113
  0.99  -7.42311429
  1.00  -8.86400358
